Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Tue Jun 30 3:15 PM,Tue Jun 30 3:30 PM,0.2 hr,191,191,https://www.instagram.com/reel/DaOK1gHhkPi/
Tue Jun 30 3:30 PM,Tue Jun 30 3:45 PM,0.3 hr,159,350,
Tue Jun 30 3:45 PM,Tue Jun 30 4:00 PM,0.3 hr,146,496,
Tue Jun 30 4:00 PM,Tue Jun 30 4:15 PM,0.2 hr,127,623,
Tue Jun 30 4:15 PM,Tue Jun 30 4:30 PM,0.3 hr,118,741,
Tue Jun 30 4:30 PM,Tue Jun 30 4:45 PM,0.3 hr,81,822,
Tue Jun 30 4:45 PM,Tue Jun 30 5:15 PM,0.5 hr,136,958,
Tue Jun 30 5:15 PM,Tue Jun 30 5:45 PM,0.5 hr,122,"1,080",
Tue Jun 30 5:45 PM,Tue Jun 30 6:15 PM,0.5 hr,170,"1,250",
Tue Jun 30 6:15 PM,Tue Jun 30 6:45 PM,0.5 hr,195,"1,445",
Tue Jun 30 6:45 PM,Tue Jun 30 7:15 PM,0.5 hr,218,"1,663",
Tue Jun 30 7:15 PM,Tue Jun 30 7:45 PM,0.5 hr,316,"1,979",
Tue Jun 30 7:45 PM,Tue Jun 30 8:15 PM,0.5 hr,469,"2,448",
Tue Jun 30 8:15 PM,Tue Jun 30 8:45 PM,0.5 hr,575,"3,023",
Tue Jun 30 8:45 PM,Tue Jun 30 9:15 PM,0.5 hr,833,"3,856",
Tue Jun 30 9:15 PM,Tue Jun 30 9:45 PM,0.5 hr,"1,165","5,021",
Tue Jun 30 9:45 PM,Tue Jun 30 10:15 PM,0.5 hr,582,"5,603",
Tue Jun 30 10:15 PM,Tue Jun 30 10:45 PM,0.5 hr,191,"5,794",
Tue Jun 30 10:45 PM,Tue Jun 30 11:15 PM,0.5 hr,246,"6,040",
Tue Jun 30 11:15 PM,Tue Jun 30 11:45 PM,0.5 hr,259,"6,299",
Tue Jun 30 11:45 PM,Wed Jul 1 12:15 AM,0.5 hr,494,"6,793",
Wed Jul 1 12:15 AM,Wed Jul 1 12:45 AM,0.5 hr,533,"7,326",
Wed Jul 1 12:45 AM,Wed Jul 1 1:15 AM,0.5 hr,428,"7,754",
Wed Jul 1 1:15 AM,Wed Jul 1 1:45 AM,0.5 hr,421,"8,175",
Wed Jul 1 1:45 AM,Wed Jul 1 2:15 AM,0.5 hr,341,"8,516",
Wed Jul 1 2:15 AM,Wed Jul 1 2:45 AM,0.5 hr,284,"8,800",
